variant,id,question,ground_truth_type,question_type,provider,expected_documents,expected_document_1,expected_document_2,retrieved_doc_ids,retrieved_chunk_ids,retrieved_scores,top_1_doc_id,top_3_doc_ids,top_5_doc_ids,reciprocal_rank,retrieval_latency_ms,retrieved_chunk_count,unique_doc_count,duplicate_chunk_count,duplicate_ratio,max_same_document_occupancy,context_character_count,approximate_token_count,hit_at_1,hit_at_3,hit_at_5,any_hit_at_1,any_hit_at_3,any_hit_at_5,all_hit_at_1,all_hit_at_3,all_hit_at_5
cap2,eval_032,A Service name resolves but requests still fail to reach Pods. Which Kubernetes troubleshooting source is most relevant?,single,single-troubleshooting,kubernetes,k8s_debug_services,k8s_debug_services,,k8s_debug_pods|k8s_debug_services|k8s_debug_services|k8s_debug_pods|k8s_troubleshooting_applications,k8s_debug_pods::0009|k8s_debug_services::0008|k8s_debug_services::0007|k8s_debug_pods::0000|k8s_troubleshooting_applications::0000,0.741594|0.745907|0.747207|0.792709|0.902166,k8s_debug_pods,k8s_debug_pods|k8s_debug_services|k8s_debug_services,k8s_debug_pods|k8s_debug_services|k8s_debug_services|k8s_debug_pods|k8s_troubleshooting_applications,0.5,206.997,5,3,2,0.4,2,4589,1147,0,1,1,0,1,1,0,1,1
baseline,eval_033,A container starts slowly and liveness checks kill it before it finishes initialization. Which probe type should be investigated?,single,contextual,kubernetes,k8s_liveness_readiness_startup_probes,k8s_liveness_readiness_startup_probes,,k8s_liveness_readiness_startup_probes|k8s_liveness_readiness_startup_probes|k8s_liveness_readiness_startup_probes|k8s_liveness_readiness_startup_probes|k8s_liveness_readiness_startup_probes,k8s_liveness_readiness_startup_probes::0017|k8s_liveness_readiness_startup_probes::0019|k8s_liveness_readiness_startup_probes::0004|k8s_liveness_readiness_startup_probes::0016|k8s_liveness_readiness_startup_probes::0012,0.606082|0.609153|0.688522|0.698793|0.707619,k8s_liveness_readiness_startup_probes,k8s_liveness_readiness_startup_probes|k8s_liveness_readiness_startup_probes|k8s_liveness_readiness_startup_probes,k8s_liveness_readiness_startup_probes|k8s_liveness_readiness_startup_probes|k8s_liveness_readiness_startup_probes|k8s_liveness_readiness_startup_probes|k8s_liveness_readiness_startup_probes,1.0,125.17,5,1,4,0.8,5,4623,1156,1,1,1,1,1,1,1,1,1
cap2,eval_033,A container starts slowly and liveness checks kill it before it finishes initialization. Which probe type should be investigated?,single,contextual,kubernetes,k8s_liveness_readiness_startup_probes,k8s_liveness_readiness_startup_probes,,k8s_liveness_readiness_startup_probes|k8s_liveness_readiness_startup_probes|k8s_debug_running_pod|k8s_debug_running_pod|k8s_resource_management,k8s_liveness_readiness_startup_probes::0017|k8s_liveness_readiness_startup_probes::0019|k8s_debug_running_pod::0007|k8s_debug_running_pod::0019|k8s_resource_management::0035,0.606082|0.609153|0.887845|0.993334|1.017153,k8s_liveness_readiness_startup_probes,k8s_liveness_readiness_startup_probes|k8s_liveness_readiness_startup_probes|k8s_debug_running_pod,k8s_liveness_readiness_startup_probes|k8s_liveness_readiness_startup_probes|k8s_debug_running_pod|k8s_debug_running_pod|k8s_resource_management,1.0,125.195,5,3,2,0.4,2,4623,1156,1,1,1,1,1,1,1,1,1
baseline,eval_034,Auto Scaling should not immediately replace every unhealthy instance at once during a widespread target failure. Which document explains replacement behavior?,single,contextual,aws,aws_ec2_autoscaling_health_checks,aws_ec2_autoscaling_health_checks,,aws_ec2_autoscaling_health_checks|aws_ec2_autoscaling_health_checks|aws_ec2_autoscaling_health_checks|aws_ec2_autoscaling_health_checks|aws_ec2_autoscaling_health_checks,aws_ec2_autoscaling_health_checks::0013|aws_ec2_autoscaling_health_checks::0015|aws_ec2_autoscaling_health_checks::0014|aws_ec2_autoscaling_health_checks::0012|aws_ec2_autoscaling_health_checks::0016,0.633259|0.689291|0.703192|0.74949|0.758947,aws_ec2_autoscaling_health_checks,aws_ec2_autoscaling_health_checks|aws_ec2_autoscaling_health_checks|aws_ec2_autoscaling_health_checks,aws_ec2_autoscaling_health_checks|aws_ec2_autoscaling_health_checks|aws_ec2_autoscaling_health_checks|aws_ec2_autoscaling_health_checks|aws_ec2_autoscaling_health_checks,1.0,186.327,5,1,4,0.8,5,5118,1280,1,1,1,1,1,1,1,1,1
cap2,eval_034,Auto Scaling should not immediately replace every unhealthy instance at once during a widespread target failure. Which document explains replacement behavior?,single,contextual,aws,aws_ec2_autoscaling_health_checks,aws_ec2_autoscaling_health_checks,,aws_ec2_autoscaling_health_checks|aws_ec2_autoscaling_health_checks|aws_ec2_autoscaling_unhealthy_instances|aws_ec2_autoscaling_unhealthy_instances|k8s_horizontal_pod_autoscaling,aws_ec2_autoscaling_health_checks::0013|aws_ec2_autoscaling_health_checks::0015|aws_ec2_autoscaling_unhealthy_instances::0007|aws_ec2_autoscaling_unhealthy_instances::0004|k8s_horizontal_pod_autoscaling::0016,0.633259|0.689291|0.940064|0.943695|0.947936,aws_ec2_autoscaling_health_checks,aws_ec2_autoscaling_health_checks|aws_ec2_autoscaling_health_checks|aws_ec2_autoscaling_unhealthy_instances,aws_ec2_autoscaling_health_checks|aws_ec2_autoscaling_health_checks|aws_ec2_autoscaling_unhealthy_instances|aws_ec2_autoscaling_unhealthy_instances|k8s_horizontal_pod_autoscaling,1.0,186.353,5,3,2,0.4,2,5119,1280,1,1,1,1,1,1,1,1,1
baseline,eval_035,An RDS instance is available but external clients still cannot connect. Which likely network and access settings are described in the corpus?,single,single-troubleshooting,aws,aws_rds_troubleshooting,aws_rds_troubleshooting,,aws_rds_troubleshooting|aws_rds_troubleshooting|aws_rds_troubleshooting|aws_rds_troubleshooting|aws_rds_troubleshooting,aws_rds_troubleshooting::0001|aws_rds_troubleshooting::0019|aws_rds_troubleshooting::0008|aws_rds_troubleshooting::0014|aws_rds_troubleshooting::0005,0.882614|0.941355|0.997501|1.001348|1.003155,aws_rds_troubleshooting,aws_rds_troubleshooting|aws_rds_troubleshooting|aws_rds_troubleshooting,aws_rds_troubleshooting|aws_rds_troubleshooting|aws_rds_troubleshooting|aws_rds_troubleshooting|aws_rds_troubleshooting,1.0,131.604,5,1,4,0.8,5,5120,1280,1,1,1,1,1,1,1,1,1
cap2,eval_035,An RDS instance is available but external clients still cannot connect. Which likely network and access settings are described in the corpus?,single,single-troubleshooting,aws,aws_rds_troubleshooting,aws_rds_troubleshooting,,aws_rds_troubleshooting|aws_rds_troubleshooting,aws_rds_troubleshooting::0001|aws_rds_troubleshooting::0019,0.882614|0.941355,aws_rds_troubleshooting,aws_rds_troubleshooting|aws_rds_troubleshooting,aws_rds_troubleshooting|aws_rds_troubleshooting,1.0,131.638,2,1,1,0.5,2,2048,512,1,1,1,1,1,1,1,1,1
baseline,eval_036,A team wants to verify whether a source can reach a destination in a VPC without manually reading every route and security rule. Which document applies?,single,single-conceptual,aws,aws_vpc_reachability_analyzer,aws_vpc_reachability_analyzer,,aws_vpc_reachability_analyzer|aws_eks_auto_mode_troubleshooting|aws_eks_auto_mode_troubleshooting|aws_rds_troubleshooting|aws_rds_troubleshooting,aws_vpc_reachability_analyzer::0000|aws_eks_auto_mode_troubleshooting::0021|aws_eks_auto_mode_troubleshooting::0022|aws_rds_troubleshooting::0009|aws_rds_troubleshooting::0003,1.01146|1.024249|1.067925|1.093128|1.094946,aws_vpc_reachability_analyzer,aws_vpc_reachability_analyzer|aws_eks_auto_mode_troubleshooting|aws_eks_auto_mode_troubleshooting,aws_vpc_reachability_analyzer|aws_eks_auto_mode_troubleshooting|aws_eks_auto_mode_troubleshooting|aws_rds_troubleshooting|aws_rds_troubleshooting,1.0,138.871,5,3,2,0.4,2,5117,1279,1,1,1,1,1,1,1,1,1
cap2,eval_036,A team wants to verify whether a source can reach a destination in a VPC without manually reading every route and security rule. Which document applies?,single,single-conceptual,aws,aws_vpc_reachability_analyzer,aws_vpc_reachability_analyzer,,aws_vpc_reachability_analyzer|aws_eks_auto_mode_troubleshooting|aws_eks_auto_mode_troubleshooting|aws_rds_troubleshooting|aws_rds_troubleshooting,aws_vpc_reachability_analyzer::0000|aws_eks_auto_mode_troubleshooting::0021|aws_eks_auto_mode_troubleshooting::0022|aws_rds_troubleshooting::0009|aws_rds_troubleshooting::0003,1.01146|1.024249|1.067925|1.093128|1.094946,aws_vpc_reachability_analyzer,aws_vpc_reachability_analyzer|aws_eks_auto_mode_troubleshooting|aws_eks_auto_mode_troubleshooting,aws_vpc_reachability_analyzer|aws_eks_auto_mode_troubleshooting|aws_eks_auto_mode_troubleshooting|aws_rds_troubleshooting|aws_rds_troubleshooting,1.0,138.893,5,3,2,0.4,2,5117,1279,1,1,1,1,1,1,1,1,1
baseline,eval_037,How do I register for the AWS Certified Solutions Architect exam next month?,out_of_scope,out-of-scope,out_of_scope,,NONE,,aws_rds_troubleshooting|aws_eks_iam_troubleshooting|aws_eks_iam_troubleshooting|aws_eks_iam_troubleshooting|aws_rds_troubleshooting,aws_rds_troubleshooting::0015|aws_eks_iam_troubleshooting::0007|aws_eks_iam_troubleshooting::0004|aws_eks_iam_troubleshooting::0005|aws_rds_troubleshooting::0008,1.379309|1.394845|1.402137|1.408294|1.410335,aws_rds_troubleshooting,aws_rds_troubleshooting|aws_eks_iam_troubleshooting|aws_eks_iam_troubleshooting,aws_rds_troubleshooting|aws_eks_iam_troubleshooting|aws_eks_iam_troubleshooting|aws_eks_iam_troubleshooting|aws_rds_troubleshooting,,150.263,5,2,3,0.6,3,5118,1280,,,,,,,,,
cap2,eval_037,How do I register for the AWS Certified Solutions Architect exam next month?,out_of_scope,out-of-scope,out_of_scope,,NONE,,aws_rds_troubleshooting|aws_eks_iam_troubleshooting|aws_eks_iam_troubleshooting|aws_rds_troubleshooting|aws_eks_auto_mode_troubleshooting,aws_rds_troubleshooting::0015|aws_eks_iam_troubleshooting::0007|aws_eks_iam_troubleshooting::0004|aws_rds_troubleshooting::0008|aws_eks_auto_mode_troubleshooting::0021,1.379309|1.394845|1.402137|1.410335|1.4104,aws_rds_troubleshooting,aws_rds_troubleshooting|aws_eks_iam_troubleshooting|aws_eks_iam_troubleshooting,aws_rds_troubleshooting|aws_eks_iam_troubleshooting|aws_eks_iam_troubleshooting|aws_rds_troubleshooting|aws_eks_auto_mode_troubleshooting,,150.287,5,3,2,0.4,2,5118,1280,,,,,,,,,
baseline,eval_038,What is the current monthly price for a specific RDS instance class in Seoul region?,out_of_scope,out-of-scope,out_of_scope,,NONE,,aws_rds_troubleshooting|aws_rds_troubleshooting|aws_rds_troubleshooting|aws_rds_troubleshooting|aws_rds_troubleshooting,aws_rds_troubleshooting::0028|aws_rds_troubleshooting::0032|aws_rds_troubleshooting::0027|aws_rds_troubleshooting::0030|aws_rds_troubleshooting::0018,1.148453|1.163558|1.173614|1.195726|1.207011,aws_rds_troubleshooting,aws_rds_troubleshooting|aws_rds_troubleshooting|aws_rds_troubleshooting,aws_rds_troubleshooting|aws_rds_troubleshooting|aws_rds_troubleshooting|aws_rds_troubleshooting|aws_rds_troubleshooting,,152.952,5,1,4,0.8,5,5118,1280,,,,,,,,,
cap2,eval_038,What is the current monthly price for a specific RDS instance class in Seoul region?,out_of_scope,out-of-scope,out_of_scope,,NONE,,aws_rds_troubleshooting|aws_rds_troubleshooting|aws_ec2_autoscaling_troubleshooting|aws_ec2_autoscaling_unhealthy_instances|aws_ec2_autoscaling_troubleshooting,aws_rds_troubleshooting::0028|aws_rds_troubleshooting::0032|aws_ec2_autoscaling_troubleshooting::0006|aws_ec2_autoscaling_unhealthy_instances::0005|aws_ec2_autoscaling_troubleshooting::0007,1.148453|1.163558|1.26929|1.273713|1.306577,aws_rds_troubleshooting,aws_rds_troubleshooting|aws_rds_troubleshooting|aws_ec2_autoscaling_troubleshooting,aws_rds_troubleshooting|aws_rds_troubleshooting|aws_ec2_autoscaling_troubleshooting|aws_ec2_autoscaling_unhealthy_instances|aws_ec2_autoscaling_troubleshooting,,152.986,5,3,2,0.4,2,5118,1280,,,,,,,,,
baseline,eval_039,How do I fix a Python pandas dataframe merge error in local code?,out_of_scope,out-of-scope,out_of_scope,,NONE,,aws_eks_auto_mode_troubleshooting|k8s_debug_pods|k8s_logging_architecture|aws_rds_troubleshooting|aws_rds_troubleshooting,aws_eks_auto_mode_troubleshooting::0015|k8s_debug_pods::0006|k8s_logging_architecture::0023|aws_rds_troubleshooting::0071|aws_rds_troubleshooting::0015,1.507979|1.518829|1.599594|1.601203|1.610519,aws_eks_auto_mode_troubleshooting,aws_eks_auto_mode_troubleshooting|k8s_debug_pods|k8s_logging_architecture,aws_eks_auto_mode_troubleshooting|k8s_debug_pods|k8s_logging_architecture|aws_rds_troubleshooting|aws_rds_troubleshooting,,145.857,5,4,1,0.2,2,4203,1051,,,,,,,,,
cap2,eval_039,How do I fix a Python pandas dataframe merge error in local code?,out_of_scope,out-of-scope,out_of_scope,,NONE,,aws_eks_auto_mode_troubleshooting|k8s_debug_pods|k8s_logging_architecture|aws_rds_troubleshooting|aws_rds_troubleshooting,aws_eks_auto_mode_troubleshooting::0015|k8s_debug_pods::0006|k8s_logging_architecture::0023|aws_rds_troubleshooting::0071|aws_rds_troubleshooting::0015,1.507979|1.518829|1.599594|1.601203|1.610519,aws_eks_auto_mode_troubleshooting,aws_eks_auto_mode_troubleshooting|k8s_debug_pods|k8s_logging_architecture,aws_eks_auto_mode_troubleshooting|k8s_debug_pods|k8s_logging_architecture|aws_rds_troubleshooting|aws_rds_troubleshooting,,145.874,5,4,1,0.2,2,4203,1051,,,,,,,,,
baseline,eval_040,What is the latest Kubernetes CVE announced this week?,out_of_scope,out-of-scope,out_of_scope,,NONE,,k8s_resource_management|k8s_horizontal_pod_autoscaling|k8s_configmaps|k8s_secrets|k8s_debug_running_pod,k8s_resource_management::0036|k8s_horizontal_pod_autoscaling::0037|k8s_configmaps::0017|k8s_secrets::0037|k8s_debug_running_pod::0010,1.049957|1.122127|1.148448|1.165822|1.177661,k8s_resource_management,k8s_resource_management|k8s_horizontal_pod_autoscaling|k8s_configmaps,k8s_resource_management|k8s_horizontal_pod_autoscaling|k8s_configmaps|k8s_secrets|k8s_debug_running_pod,,127.157,5,5,0,0.0,1,2354,588,,,,,,,,,
cap2,eval_040,What is the latest Kubernetes CVE announced this week?,out_of_scope,out-of-scope,out_of_scope,,NONE,,k8s_resource_management|k8s_horizontal_pod_autoscaling|k8s_configmaps|k8s_secrets|k8s_debug_running_pod,k8s_resource_management::0036|k8s_horizontal_pod_autoscaling::0037|k8s_configmaps::0017|k8s_secrets::0037|k8s_debug_running_pod::0010,1.049957|1.122127|1.148448|1.165822|1.177661,k8s_resource_management,k8s_resource_management|k8s_horizontal_pod_autoscaling|k8s_configmaps,k8s_resource_management|k8s_horizontal_pod_autoscaling|k8s_configmaps|k8s_secrets|k8s_debug_running_pod,,127.181,5,5,0,0.0,1,2354,588,,,,,,,,,
